"GeographyId","GeographyTypeId","GeographyName","GeographyFullName"
417,4,"10001(cbwsonly)","Kent, DE"
290,4,"10003(cbwsonly)","New Castle, DE"
291,4,"10005(cbwsonly)","Sussex, DE"
299,4,"11001(cbwsonly)","Washington, DC"
312,4,"24001(cbwsonly)","Allegany, MD"
300,4,"24003(cbwsonly)","Anne Arundel, MD"
292,4,"24005(cbwsonly)","Baltimore, MD"
301,4,"24009(cbwsonly)","Calvert, MD"
302,4,"24011(cbwsonly)","Caroline, MD"
293,4,"24013(cbwsonly)","Carroll, MD"
294,4,"24015(cbwsonly)","Cecil, MD"
303,4,"24017(cbwsonly)","Charles, MD"
304,4,"24019(cbwsonly)","Dorchester, MD"
295,4,"24021(cbwsonly)","Frederick, MD"
313,4,"24023(cbwsonly)","Garrett, MD"
296,4,"24025(cbwsonly)","Harford, MD"
297,4,"24027(cbwsonly)","Howard, MD"
305,4,"24029(cbwsonly)","Kent, MD"
298,4,"24031(cbwsonly)","Montgomery, MD"
306,4,"24033(cbwsonly)","Prince Georges, MD"
307,4,"24035(cbwsonly)","Queen Annes, MD"
308,4,"24037(cbwsonly)","St. Marys, MD"
309,4,"24039(cbwsonly)","Somerset, MD"
310,4,"24041(cbwsonly)","Talbot, MD"
314,4,"24043(cbwsonly)","Washington, MD"
311,4,"24045(cbwsonly)","Wicomico, MD"
418,4,"24047(cbwsonly)","Worcester, MD"
461,4,"24510(cbwsonly)","Baltimore City, MD"
419,4,"36003(cbwsonly)","Allegany, NY"
420,4,"36007(cbwsonly)","Broome, NY"
421,4,"36015(cbwsonly)","Chemung, NY"
422,4,"36017(cbwsonly)","Chenango, NY"
423,4,"36023(cbwsonly)","Cortland, NY"
424,4,"36025(cbwsonly)","Delaware, NY"
425,4,"36043(cbwsonly)","Herkimer, NY"
426,4,"36051(cbwsonly)","Livingston, NY"
427,4,"36053(cbwsonly)","Madison, NY"
428,4,"36065(cbwsonly)","Oneida, NY"
429,4,"36067(cbwsonly)","Onondaga, NY"
430,4,"36069(cbwsonly)","Ontario, NY"
431,4,"36077(cbwsonly)","Otsego, NY"
432,4,"36095(cbwsonly)","Schoharie, NY"
