CostBmpSubmittedId,CostProfileId,SectorId,BmpId,AnimalId,LifespanYears,Capital,OandM,Opportunity,Notes,TotalCostPerUnit
1,1,1,31,1,1,19.53,0.0,0.0,,20.51
2273,1,1,32,5,15,7841.37,1752.11,0.0,,2507.57
97,1,1,35,1,15,402.49,34.21,0.0,,72.99
193,1,1,69,1,1,0.0,0.0,0.0,BMP represents a technology that may be developed in the future. No cost is available currently. ,0.0
241,1,1,71,6,1,0.0,-43.99,0.0,,-43.99
249,1,1,203,1,1,79.87,0.0,0.0,,83.86
281,1,1,204,1,20,333.23,12.5,0.0,,39.24
313,1,1,205,3,10,1624.31,48.73,0.0,,259.09
353,1,1,206,1,15,917.45,27.52,0.0,,115.91
449,1,1,256,1,20,377.17,64.09,0.0,,94.36
545,1,1,257,1,20,408.03,16.56,0.0,,49.3
641,1,1,258,1,10,388.4,88.06,0.0,,138.36
737,1,1,259,1,10,388.4,88.06,0.0,,138.36
833,1,1,260,1,10,381.11,100.7,0.0,,150.06
929,1,1,261,1,10,381.11,100.7,0.0,,150.06
1025,1,1,262,1,15,186.89,115.69,0.0,,133.7
1121,1,1,263,1,15,186.89,115.69,0.0,,133.7
1217,1,1,264,1,15,186.89,115.69,0.0,,133.7
1313,1,1,265,1,15,214.47,-9.19,0.0,,11.47
1409,1,1,266,1,15,214.47,-9.19,0.0,,11.47
1505,1,1,267,1,15,214.47,-9.19,0.0,,11.47
1601,1,1,268,1,15,101.91,-20.6,0.0,,-10.78
1697,1,1,269,1,15,101.91,-20.6,0.0,,-10.78
1793,1,1,270,1,15,101.91,-20.6,0.0,,-10.78
1889,1,1,271,1,15,95.49,-20.6,0.0,,-11.4
1985,1,1,272,1,15,95.49,-20.6,0.0,,-11.4
2081,1,1,273,1,15,95.49,-20.6,0.0,,-11.4
2177,1,1,274,1,15,292.53,25.82,0.0,,54.0
2,2,1,31,1,1,19.53,0.0,0.0,,20.51
2274,2,1,32,5,15,7857.51,1752.91,0.0,,2509.92
98,2,1,35,1,15,325.64,27.68,0.0,,59.05
194,2,1,69,1,1,0.0,0.0,0.0,BMP represents a technology that may be developed in the future. No cost is available currently. ,0.0
242,2,1,71,6,1,0.0,-43.99,0.0,,-43.99
250,2,1,203,1,1,92.74,0.0,0.0,,97.38
282,2,1,204,1,20,333.23,12.5,0.0,,39.24
314,2,1,205,3,10,1980.08,59.4,0.0,,315.83
354,2,1,206,1,15,931.34,27.94,0.0,,117.67
450,2,1,256,1,20,377.17,64.09,0.0,,94.36
546,2,1,257,1,20,408.03,16.56,0.0,,49.3
642,2,1,258,1,10,388.4,88.06,0.0,,138.36
738,2,1,259,1,10,388.4,88.06,0.0,,138.36
834,2,1,260,1,10,381.11,100.7,0.0,,150.06
930,2,1,261,1,10,381.11,100.7,0.0,,150.06
1026,2,1,262,1,15,186.89,115.69,0.0,,133.7
1122,2,1,263,1,15,186.89,115.69,0.0,,133.7
1218,2,1,264,1,15,186.89,115.69,0.0,,133.7
1314,2,1,265,1,15,214.47,-9.19,0.0,,11.47
1410,2,1,266,1,15,214.47,-9.19,0.0,,11.47
1506,2,1,267,1,15,214.47,-9.19,0.0,,11.47
1602,2,1,268,1,15,101.91,-20.6,0.0,,-10.78
1698,2,1,269,1,15,101.91,-20.6,0.0,,-10.78
1794,2,1,270,1,15,101.91,-20.6,0.0,,-10.78
1890,2,1,271,1,15,95.49,-20.6,0.0,,-11.4
1986,2,1,272,1,15,95.49,-20.6,0.0,,-11.4
2082,2,1,273,1,15,95.49,-20.6,0.0,,-11.4
2178,2,1,274,1,15,292.53,25.82,0.0,,54.0
3,3,1,31,1,1,19.53,0.0,0.0,,20.51
2275,3,1,32,5,15,7818.02,1750.94,0.0,,2504.15
99,3,1,35,1,15,363.7,30.91,0.0,,65.95
195,3,1,69,1,1,0.0,0.0,0.0,BMP represents a technology that may be developed in the future. No cost is available currently. ,0.0
243,3,1,71,6,1,0.0,-43.99,0.0,,-43.99
251,3,1,203,1,1,60.68,0.0,0.0,,63.71
283,3,1,204,1,20,333.23,12.5,0.0,,39.24
315,3,1,205,3,10,1652.16,49.56,0.0,,263.52
355,3,1,206,1,15,1023.34,30.7,0.0,,129.29
451,3,1,256,1,20,377.17,64.09,0.0,,94.36
547,3,1,257,1,20,408.03,16.56,0.0,,49.3
643,3,1,258,1,10,388.4,88.06,0.0,,138.36
739,3,1,259,1,10,388.4,88.06,0.0,,138.36
835,3,1,260,1,10,381.11,100.7,0.0,,150.06
931,3,1,261,1,10,381.11,100.7,0.0,,150.06
1027,3,1,262,1,15,186.89,115.69,0.0,,133.7
1123,3,1,263,1,15,186.89,115.69,0.0,,133.7
1219,3,1,264,1,15,186.89,115.69,0.0,,133.7
1315,3,1,265,1,15,214.47,-9.19,0.0,,11.47
1411,3,1,266,1,15,214.47,-9.19,0.0,,11.47
