"CostBmpSubmittedId","CostProfileId","SectorId","BmpId","AnimalId","LifespanYears","Capital","OandM","Opportunity","Notes","TotalCostPerUnit"
1,1,1,31,1,1,19.53,0.00,0.00,,20.51
2,2,1,31,1,1,19.53,0.00,0.00,,20.51
3,3,1,31,1,1,19.53,0.00,0.00,,20.51
4,4,1,31,1,1,19.53,0.00,0.00,,20.51
5,5,1,31,1,1,19.53,0.00,0.00,,20.51
6,6,1,31,1,1,19.53,0.00,0.00,,20.51
7,7,1,31,1,1,19.53,0.00,0.00,,20.51
8,8,1,31,1,1,19.53,0.00,0.00,,20.51
9,1,1,31,2,1,19.53,0.00,0.00,,20.51
10,2,1,31,2,1,19.53,0.00,0.00,,20.51
11,3,1,31,2,1,19.53,0.00,0.00,,20.51
12,4,1,31,2,1,19.53,0.00,0.00,,20.51
13,5,1,31,2,1,19.53,0.00,0.00,,20.51
14,6,1,31,2,1,19.53,0.00,0.00,,20.51
15,7,1,31,2,1,19.53,0.00,0.00,,20.51
16,8,1,31,2,1,19.53,0.00,0.00,,20.51
17,1,1,31,3,1,19.53,0.00,0.00,,20.51
18,2,1,31,3,1,19.53,0.00,0.00,,20.51
19,3,1,31,3,1,19.53,0.00,0.00,,20.51
20,4,1,31,3,1,19.53,0.00,0.00,,20.51
21,5,1,31,3,1,19.53,0.00,0.00,,20.51
22,6,1,31,3,1,19.53,0.00,0.00,,20.51
23,7,1,31,3,1,19.53,0.00,0.00,,20.51
24,8,1,31,3,1,19.53,0.00,0.00,,20.51
25,1,1,31,4,1,19.53,0.00,0.00,,20.51
26,2,1,31,4,1,19.53,0.00,0.00,,20.51
27,3,1,31,4,1,19.53,0.00,0.00,,20.51
28,4,1,31,4,1,19.53,0.00,0.00,,20.51
29,5,1,31,4,1,19.53,0.00,0.00,,20.51
30,6,1,31,4,1,19.53,0.00,0.00,,20.51
31,7,1,31,4,1,19.53,0.00,0.00,,20.51
32,8,1,31,4,1,19.53,0.00,0.00,,20.51
33,1,1,31,5,1,19.53,0.00,0.00,,20.51
34,2,1,31,5,1,19.53,0.00,0.00,,20.51
35,3,1,31,5,1,19.53,0.00,0.00,,20.51
36,4,1,31,5,1,19.53,0.00,0.00,,20.51
37,5,1,31,5,1,19.53,0.00,0.00,,20.51
38,6,1,31,5,1,19.53,0.00,0.00,,20.51
39,7,1,31,5,1,19.53,0.00,0.00,,20.51
40,8,1,31,5,1,19.53,0.00,0.00,,20.51
41,1,1,31,6,1,19.53,0.00,0.00,,20.51
42,2,1,31,6,1,19.53,0.00,0.00,,20.51
43,3,1,31,6,1,19.53,0.00,0.00,,20.51
44,4,1,31,6,1,19.53,0.00,0.00,,20.51
45,5,1,31,6,1,19.53,0.00,0.00,,20.51
46,6,1,31,6,1,19.53,0.00,0.00,,20.51
47,7,1,31,6,1,19.53,0.00,0.00,,20.51
