CountyName,CountyId,StateAbbreviation,FIPS,GrowingAreaId,FractionSoilOrganicMatter,SoilOrganicMatterPlantAvailableNPerAcre,GeographyId,GeographyTypeId,GeographyName
"New Castle, DE",1,,,,,,,,
"New Castle, DE",2,,,,,,,,
"New Castle, DE",10003,,,,,,,,
"New Castle, DE",1,,,,,,,,
"New Castle, DE",0.015,,,,,,,,
"New Castle, DE",45.0,,,,,,,,
"New Castle, DE",290,,,,,,,,
"New Castle, DE",4,,,,,,,,
"New Castle, DE",10003(cbwsonly),,,,,,,,
"Sussex, DE",2,,,,,,,,
"Sussex, DE",2,,,,,,,,
"Sussex, DE",10005,,,,,,,,
"Sussex, DE",1,,,,,,,,
"Sussex, DE",0.015,,,,,,,,
"Sussex, DE",45.0,,,,,,,,
"Sussex, DE",291,,,,,,,,
"Sussex, DE",4,,,,,,,,
"Sussex, DE",10005(cbwsonly),,,,,,,,
"Baltimore, MD",3,,,,,,,,
"Baltimore, MD",3,,,,,,,,
"Baltimore, MD",24005,,,,,,,,
"Baltimore, MD",2,,,,,,,,
"Baltimore, MD",0.015,,,,,,,,
"Baltimore, MD",45.0,,,,,,,,
"Baltimore, MD",292,,,,,,,,
"Baltimore, MD",4,,,,,,,,
"Baltimore, MD",24005(cbwsonly),,,,,,,,
"Carroll, MD",4,,,,,,,,
"Carroll, MD",3,,,,,,,,
"Carroll, MD",24013,,,,,,,,
"Carroll, MD",2,,,,,,,,
"Carroll, MD",0.015,,,,,,,,
"Carroll, MD",45.0,,,,,,,,
"Carroll, MD",293,,,,,,,,
"Carroll, MD",4,,,,,,,,
"Carroll, MD",24013(cbwsonly),,,,,,,,
"Cecil, MD",5,,,,,,,,
"Cecil, MD",3,,,,,,,,
"Cecil, MD",24015,,,,,,,,
"Cecil, MD",2,,,,,,,,
"Cecil, MD",0.015,,,,,,,,
"Cecil, MD",45.0,,,,,,,,
"Cecil, MD",294,,,,,,,,
"Cecil, MD",4,,,,,,,,
"Cecil, MD",24015(cbwsonly),,,,,,,,
"Frederick, MD",6,,,,,,,,
"Frederick, MD",3,,,,,,,,
"Frederick, MD",24021,,,,,,,,
"Frederick, MD",2,,,,,,,,
"Frederick, MD",0.015,,,,,,,,
"Frederick, MD",45.0,,,,,,,,
"Frederick, MD",295,,,,,,,,
"Frederick, MD",4,,,,,,,,
"Frederick, MD",24021(cbwsonly),,,,,,,,
"Harford, MD",7,,,,,,,,
"Harford, MD",3,,,,,,,,
"Harford, MD",24025,,,,,,,,
"Harford, MD",2,,,,,,,,
"Harford, MD",0.015,,,,,,,,
"Harford, MD",45.0,,,,,,,,
"Harford, MD",296,,,,,,,,
"Harford, MD",4,,,,,,,,
"Harford, MD",24025(cbwsonly),,,,,,,,
"Howard, MD",8,,,,,,,,
"Howard, MD",3,,,,,,,,
"Howard, MD",24027,,,,,,,,
"Howard, MD",2,,,,,,,,
"Howard, MD",0.015,,,,,,,,
"Howard, MD",45.0,,,,,,,,
"Howard, MD",297,,,,,,,,
"Howard, MD",4,,,,,,,,
"Howard, MD",24027(cbwsonly),,,,,,,,
"Montgomery, MD",9,,,,,,,,
"Montgomery, MD",3,,,,,,,,
"Montgomery, MD",24031,,,,,,,,
"Montgomery, MD",2,,,,,,,,
"Montgomery, MD",0.015,,,,,,,,
"Montgomery, MD",45.0,,,,,,,,
"Montgomery, MD",298,,,,,,,,
"Montgomery, MD",4,,,,,,,,
"Montgomery, MD",24031(cbwsonly),,,,,,,,
"District of Columbia, DC",10,,,,,,,,
"District of Columbia, DC",1,,,,,,,,
"District of Columbia, DC",11001,,,,,,,,
"District of Columbia, DC",3,,,,,,,,
"District of Columbia, DC",0.015,,,,,,,,
"District of Columbia, DC",45.0,,,,,,,,
"Anne Arundel, MD",11,,,,,,,,
"Anne Arundel, MD",3,,,,,,,,
"Anne Arundel, MD",24003,,,,,,,,
"Anne Arundel, MD",3,,,,,,,,
